IGM	CodigoMuestra	NombreEstacion	EstacionCompanero	SimboloUG	UGMapa	SubUnidad	DescripcionMuestra	NombreRoca	Localizacion	Plancha	Norte	Este	Altura	SistemaCoordenadas	Fecha	Proyecto	NombreColector	ExisteMuestra	TipoAnalisis
	ACM0397A	ACM0397	ECM0324				Se realiza reconocimiento de las insenberg ubicados sobre la playas de Santa Marta conformadas por granitoides con erosion tafoni.	Granito	Playa Salguero	11IVC	1728489	982508	3	Magna Colombia Bogotá	3/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		DatacionesRadiometricas
	ACM0397B	ACM0397	ECM0324				Se realiza reconocimiento de las insenberg ubicados sobre la playas de Santa Marta conformadas por granitoides con erosion tafoni.	Dique	Playa Salguero	11IVC	1728489	982508	3	Magna Colombia Bogotá	3/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		DatacionesRadiometricas
	ACM0397C	ACM0397	ECM0324				Se realiza reconocimiento de las insenberg ubicados sobre la playas de Santa Marta conformadas por granitoides con erosion tafoni.	Arena	Playa Salguero	11IVC	1728489	982508	3	Magna Colombia Bogotá	3/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		DatacionesRadiometricas
5079458	ACM0398	ACM0398		Qlia	Depósito litoral e intermareal actual		Se realiza recorrido de reconocimiento y se reconoce erosion tafoni (tipo colmena) en granitoide rico en plagioclasa y biotita	Roca metamórifca de protolito sedimentario con diques cuarzofeldespaticos	Playa Rodadero	11IVA	1730239	983477		Magna Colombia Bogotá	3/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		Analisis Macro
5079439	ACM0404p	ACM0404	ECM0327	e3?e4eg	Esquistos del Gaira		Afloramiento de rocas metamorficas de estructura esquistosa, esquistos hornbledicos?	esquisto hornblendico?	Vereda El Campano sobre carretera a hostal Loma Nevada-Minca	11IVD	1720771	998971	1450	Magna Colombia Bogotá	6/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		Seccion Delgada
5079459	ACM0410P	ACM0410		e3?e4bsm	Batolito de Santa Marta		afloramiento de roca roca ignea granitoide, con bloques de rocas metamorficas y diques pegmatiticos.	granitoide	quebrada sin nombre	11IVD	1720625	997634	1295	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		Analisis Macro
5079440	ACM0410PB	ACM0410		e3?e4bsm	Batolito de Santa Marta		afloramiento de roca roca ignea granitoide, con bloques de rocas metamorficas y diques pegmatiticos.	granitoide	quebrada sin nombre	11IVD	1720625	997634	1295	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		DatacionesRadiometricas
5079460	ACM0413	ACM0413		e3?e4bsm	Batolito de Santa Marta		afloramiento pequeño constituido por granitoide	granitoide	carreteable desde el campano hacia minca	11IVD	1722423	997724	997	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		Analisis Macro
5079441	ACM0414P	ACM0414		e3?e4bsm	Batolito de Santa Marta		zona de contacto roca granitoide y roca metamorfica	cuarzodiorita, cuarcita, esquisto micaceo	carreteable desde el campano hacia minca	11IVD	1722494	997635	986	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		DatacionesRadiometricas
5079442	ACM0419P	ACM0419		e3?e4eg	Esquistos del Gaira		Afloramiento pequeño con de roca metamorfica con crenulación de estructura esquistosa, esquisto anfibolico?	esquisto micaceos	No reporta	11IVD	1723499	996692	808	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		DatacionesRadiometricas
5079443	ACM0420P	ACM0420		e3?e4bsm	Batolito de Santa Marta		Afloramiento constituido por roca metamorfica foliada y plegada de esquisto anfibolico	esquisto anfilbolico	No reporta	11IVD	1720028	996600	738	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		DatacionesRadiometricas
5079444	ACM0426P	ACM0426		e3?e4bsm	Batolito de Santa Marta		Afloramiento de roca ignea de composición cuarzodiorita de grano grueso.	cuarzodiorita	carretera ppal tomando desvio a balneario Pozo Azul	11IVD	1723222	996979	743	Magna Colombia Bogotá	9/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		DatacionesRadiometricas
